filename,sum_total_global,ratio_top_bottom,center_of_mass_y,avg_percent_above_threshold,horizontal_vs_vertical_ratio,max_overall,mean_of_means,std_of_means,mean_signed_vertical,mean_signed_horizontal
img_266.jpg,4722.444824,0.876166,0.506178,0.092538,1.037986,1.000000,0.041176,0.021976,0.029946,0.028851
img_268.jpg,15460.565430,1.008821,0.502341,0.375174,1.206758,1.000000,0.134805,0.139739,0.057138,0.047348
img_269.jpg,9921.458984,1.054983,0.509536,0.252494,1.321567,1.000000,0.086508,0.076553,0.051619,0.039059
img_271.jpg,9278.640625,0.794380,0.534756,0.271284,1.213880,1.000000,0.080903,0.064732,0.047424,0.039068
img_272.jpg,7782.646973,0.660511,0.585767,0.244045,0.908945,1.000000,0.067859,0.054346,0.033633,0.037002
img_273.jpg,7670.021973,0.800551,0.547489,0.191275,0.887634,1.000000,0.066877,0.021237,0.047443,0.053449
img_274.jpg,6665.796875,1.092748,0.499576,0.110064,0.970315,1.000000,0.058121,0.039229,0.036053,0.037156
img_275.jpg,8614.279297,0.846130,0.555919,0.248108,1.008026,1.000000,0.075111,0.058328,0.040814,0.040489
img_277.jpg,7478.387207,0.700761,0.568169,0.222665,1.517723,1.000000,0.065206,0.049236,0.041572,0.027391
img_278.jpg,6635.748535,1.005482,0.513663,0.113438,2.125556,1.000000,0.057859,0.046460,0.044148,0.020770
img_279.jpg,12922.575195,1.038054,0.494687,0.370187,1.163253,1.000000,0.112676,0.111197,0.053553,0.046037
img_280.jpg,9195.449219,1.216071,0.472737,0.230355,1.129503,1.000000,0.080178,0.042196,0.061542,0.054486
img_281.jpg,8125.031250,0.708814,0.535065,0.242746,1.362852,1.000000,0.070845,0.063136,0.038428,0.028196
img_282.jpg,5145.135742,1.045200,0.501386,0.088771,1.236046,1.000000,0.044862,0.033551,0.026783,0.021669
img_284.jpg,6756.059082,1.720205,0.448283,0.218942,1.027591,1.000000,0.058908,0.051354,0.029766,0.028967
img_285.jpg,8352.598633,0.452917,0.661853,0.226955,0.721499,1.000000,0.072829,0.063213,0.030392,0.042124
img_286.jpg,10312.322266,0.505092,0.635605,0.266706,1.065043,1.000000,0.089916,0.077899,0.043792,0.041118
img_288.jpg,10220.000000,0.528796,0.610349,0.254874,1.263945,1.000000,0.089111,0.072524,0.047712,0.037749
img_289.jpg,9909.390625,0.494078,0.607192,0.256784,0.904746,1.000000,0.086403,0.065971,0.046522,0.051419
img_290.jpg,11623.370117,0.567053,0.577784,0.288783,1.686002,1.000000,0.101348,0.089164,0.060877,0.036107
img_291.jpg,13210.614258,0.658106,0.571518,0.320330,1.485169,1.000000,0.115187,0.107505,0.058390,0.039315
img_292.jpg,11335.363281,0.470938,0.635008,0.291687,1.243273,1.000000,0.098837,0.084393,0.047266,0.038017
img_293.jpg,13917.533203,0.673844,0.582245,0.374302,1.501221,1.000000,0.121351,0.076892,0.093825,0.062499
img_294.jpg,9479.289062,0.361847,0.662788,0.240949,0.737095,1.000000,0.082653,0.075370,0.032325,0.043855
img_295.jpg,7760.561523,0.545303,0.614868,0.235404,1.009334,1.000000,0.067667,0.037466,0.043697,0.043293
